ecoicop_code,series_name,year,annual_index,factor_to_2026,is_projected
06,Nacional. Sanidad. Índice.,2002,87.5,1.2506,False
06,Nacional. Sanidad. Índice.,2003,89.34,1.2249,False
06,Nacional. Sanidad. Índice.,2004,89.67,1.2204,False
06,Nacional. Sanidad. Índice.,2005,90.44,1.21,False
06,Nacional. Sanidad. Índice.,2006,91.66,1.1939,False
06,Nacional. Sanidad. Índice.,2007,90.27,1.2123,False
06,Nacional. Sanidad. Índice.,2008,90.42,1.2102,False
06,Nacional. Sanidad. Índice.,2009,89.81,1.2185,False
06,Nacional. Sanidad. Índice.,2010,88.94,1.2304,False
06,Nacional. Sanidad. Índice.,2011,87.76,1.2469,False
06,Nacional. Sanidad. Índice.,2012,90.87,1.2042,False
06,Nacional. Sanidad. Índice.,2013,97.12,1.1268,False
06,Nacional. Sanidad. Índice.,2014,97.25,1.1252,False
06,Nacional. Sanidad. Índice.,2015,97.39,1.1236,False
06,Nacional. Sanidad. Índice.,2016,97.15,1.1264,False
06,Nacional. Sanidad. Índice.,2017,97.87,1.1181,False
06,Nacional. Sanidad. Índice.,2018,98.16,1.1148,False
06,Nacional. Sanidad. Índice.,2019,98.96,1.1058,False
06,Nacional. Sanidad. Índice.,2020,99.32,1.1018,False
06,Nacional. Sanidad. Índice.,2021,100.0,1.0943,False
06,Nacional. Sanidad. Índice.,2022,101.1,1.0824,False
06,Nacional. Sanidad. Índice.,2023,102.99,1.0625,False
06,Nacional. Sanidad. Índice.,2024,105.09,1.0413,False
06,Nacional. Sanidad. Índice.,2025,107.24,1.0204,True
06,Nacional. Sanidad. Índice.,2026,109.43,1.0,True
